text;group;groupText;masked_text
Twitter: Hesabınız spam nedeniyle askıya alındı. İtiraz için <PHONE>;0;Dolandiricilik;Twitter: Hesabınız spam nedeniyle askıya alındı. İtiraz için <PHONE>
"Şok fiyat! Lenovo dizüstü bilgisayar 849 TL yerine kargo dahil 599 TL, Piranha 10.1"" tablet sadece 149.90 TL. Kaçırmayın. <URL>";1;Promosyon;"Şok fiyat! Lenovo dizüstü bilgisayar <PRICE> yerine kargo dahil <PRICE>, Piranha 10.1"" tablet sadece <PRICE>. Kaçırmayın. <URL>"
Turuncu Kart ile LG L70+ Akilli Telefon size ozel 599TL yerine 499TL Son gun 31 Mart. Kodunuz:8109340621462 Stok 1000 Adet;1;Promosyon;Turuncu Kart ile LG L70+ Akilli Telefon size ozel <PRICE> yerine <PRICE> Son gun 31 Mart. Kodunuz:8109340621462 Stok 1000 Adet
100 TL'ye varan hediye ceki ve 50 TL'ye varan bonus icin son gun! <URL>;1;Promosyon;<PRICE>'ye varan hediye ceki ve <PRICE>'ye varan bonus icin son gun! <URL>
Koroplast Firin Torbasi alin, sifreyi <URL>;1;Promosyon;Koroplast Firin Torbasi alin, sifreyi <URL>
UNIVERSITE OGRENCILERINE BIR HEDIYEDE MADAME COCO'DAN!BATTANIYE,YATAK ORTUSU VE NEVRESIM TAKIMLARI BU HAFTA 29-39-49TL!SMS IPTAL:5830MC.MERSIS0273065777400019;1;Promosyon;UNIVERSITE OGRENCILERINE BIR HEDIYEDE MADAME COCO'DAN!BATTANIYE,YATAK ORTUSU VE NEVRESIM TAKIMLARI BU HAFTA 29-39-<PRICE>!SMS IPTAL:5830MC.MERSIS0273065777400019
uyarı! PTT  vergisel yükümlülük tespit edildi. Hemen bilgi güncelleyin yoksa yasal takip başlatılacaktır. Tel: <PHONE>;0;Dolandiricilik;uyarı! PTT  vergisel yükümlülük tespit edildi. Hemen bilgi güncelleyin yoksa yasal takip başlatılacaktır. Tel: <PHONE>
ETIKETIN YARISI sizden, yarisi bizden! Simdi tum DERIMOD magazalarinda sezonun en moda deri ceket ve ayakkabilari % 50 indirimli..;1;Promosyon;ETIKETIN YARISI sizden, yarisi bizden! Simdi tum DERIMOD magazalarinda sezonun en moda deri ceket ve ayakkabilari <PERCENT> indirimli..
Hangi filme gittin?;2;Normal;Hangi filme gittin?
Dikkat! Mobil Operatör tarafından Kimlik doğrulama eksik. 24 saat içinde yoklama yapılacaktır. icra işlemi uygulanacaktır. Link: <URL>;0;Dolandiricilik;Dikkat! Mobil Operatör tarafından Kimlik doğrulama eksik. 24 saat içinde yoklama yapılacaktır. icra işlemi uygulanacaktır. Link: <URL>
Interneti Bol 500dk 1000SMS 4GB paketinizle, yeni fatura doneminizden itibaren 12 fatura donemi boyunca ayda sadece 49TL ye rahatca konusabilir, mesajlasabilir ve internete girebilirsiniz. Erken iptal bedeli bilgisi icin <URL>;1;Promosyon;Interneti Bol 500dk 1000SMS 4GB paketinizle, yeni fatura doneminizden itibaren 12 fatura donemi boyunca ayda sadece <PRICE> ye rahatca konusabilir, mesajlasabilir ve internete girebilirsiniz. Erken iptal bedeli bilgisi icin <URL>
Colin's'te Tum Kis Sezonu Urunlerde NET %50 BUYUK KIS INDIRIMI Bugun Basladi! Ayricalikli alisveris firsati icin magazalarimiza bekliyoruz. Son Gun 4 Subat! Detaylar <URL>;1;Promosyon;Colin's'te Tum Kis Sezonu Urunlerde NET <PERCENT> BUYUK KIS INDIRIMI Bugun Basladi! Ayricalikli alisveris firsati icin magazalarimiza bekliyoruz. Son Gun 4 Subat! Detaylar <URL>
ERDAL BEY GÖRÜŞMEM LAZIM MÜSAİT OLUNCA;2;Normal;ERDAL BEY GÖRÜŞMEM LAZIM MÜSAİT OLUNCA
NET%60+%10INDIRIM 2 urun ve uzeri alisveriste gecerlidir(Zamansiz urunler haric)Sms listesindesiniz,cikmak icin HOTICyazip3172ye gonderin.Mersis0464001939500012;1;Promosyon;NET<PERCENT>+<PERCENT>INDIRIM 2 urun ve uzeri alisveriste gecerlidir(Zamansiz urunler haric)Sms listesindesiniz,cikmak icin HOTICyazip3172ye gonderin.Mersis0464001939500012
Evden çalışma işi: Hemen başvuru yapın: <URL>;0;Dolandiricilik;Evden çalışma işi: Hemen başvuru yapın: <URL>
Dinlen bari yarın iş var senin;2;Normal;Dinlen bari yarın iş var senin
"sonra konuşuruz;)";2;Normal;"sonra konuşuruz;)"
Maalesef herkes gelemez;2;Normal;Maalesef herkes gelemez
SGK: hesabınız bloke edildi. derhal işlem yapmazsanızyasal takip başlatılacaktır. Borç tutarı: 15795 TL. Link: <URL>;0;Dolandiricilik;SGK: hesabınız bloke edildi. derhal işlem yapmazsanızyasal takip başlatılacaktır. Borç tutarı: 15795 TL. Link: <URL>
Spor modasina dair her sey adidas online shop'ta! 22 Kasim tarihine kadar Internet veya Cep Subesi'ne giris yapin, shop.adidas<URL>;1;Promosyon;Spor modasina dair her sey adidas online shop'ta! 22 Kasim tarihine kadar Internet veya Cep Subesi'ne giris yapin, shop.adidas<URL>
Facebook Destek bildirim: Ödemeniz (75 USD) onaylanmadı. Ödemeyi tamamlamak için: <URL>;0;Dolandiricilik;Facebook Destek bildirim: Ödemeniz (75 USD) onaylanmadı. Ödemeyi tamamlamak için: <URL>
2'sini de alayım diyorum;2;Normal;2'sini de alayım diyorum
Kardes cikiyon mu yarin Konya yoluna?;2;Normal;Kardes cikiyon mu yarin Konya yoluna?
Rengarenk havlu ve bornozlar %50 indirimle magazalarimizda ve <URL>;1;Promosyon;Rengarenk havlu ve bornozlar <PERCENT> indirimle magazalarimizda ve <URL>
Yoruldum artık. Bu dönem çok stres yaptım;2;Normal;Yoruldum artık. Bu dönem çok stres yaptım
SGK: gümrükte bekliyor. 3 gün içinde işlem yapmazsanızyasal takip başlatılacaktır. Tel: <PHONE>;0;Dolandiricilik;SGK: gümrükte bekliyor. 3 gün içinde işlem yapmazsanızyasal takip başlatılacaktır. Tel: <PHONE>
Hemen DERGI yazip 2222ye gonderin,yuzlerce dergiyi sadece 1 dergi fiyatina Turkcell Dergilik ile okumaya baslayin. Aylik 9,90 TL;1;Promosyon;Hemen DERGI yazip 2222ye gonderin,yuzlerce dergiyi sadece 1 dergi fiyatina Turkcell Dergilik ile okumaya baslayin. Aylik <PRICE>
Hiper Indirim! Aymar 5lt Aycicek Yagi 10TL, 26-28 Eylul tarihlerinde 50TL ve uzeri alisverislerinizde gecerlidir. Butun Pilic kg 4,50TL, Icim Kasar 1kg 17,90TL;1;Promosyon;Hiper Indirim! Aymar 5lt Aycicek Yagi <PRICE>, 26-28 Eylul tarihlerinde <PRICE> ve uzeri alisverislerinizde gecerlidir. Butun Pilic kg <PRICE>, Icim Kasar 1kg <PRICE>
Turk Telekom kampanyasından 1000 TL hediye kazandınız. Hemen onaylayın: <URL>;0;Dolandiricilik;Turk Telekom kampanyasından 1000 TL hediye kazandınız. Hemen onaylayın: <URL>
Dikkat! Elektrik Dağıtım tarafından hesabınızdan yetkisiz çekim. 3 gün içinde yoklama yapılacaktır. hesabınız kalıcı olarak kapatılacak. Link: <URL>;0;Dolandiricilik;Dikkat! Elektrik Dağıtım tarafından hesabınızdan yetkisiz çekim. 3 gün içinde yoklama yapılacaktır. hesabınız kalıcı olarak kapatılacak. Link: <URL>
Kargo şirketi uyarısı: Kimlik doğrulama eksik. Lütfen bugün aşağıdaki linkten doğrulayın: <URL>;0;Dolandiricilik;Kargo şirketi uyarısı: Kimlik doğrulama eksik. Lütfen bugün aşağıdaki linkten doğrulayın: <URL>
ACİL! SAHTE BANKA MESAJI: HES kodu doğrulaması  gerekiyor. Buraya girin: <URL>;0;Dolandiricilik;ACİL! SAHTE BANKA MESAJI: HES kodu doğrulaması  gerekiyor. Buraya girin: <URL>
uyarı! Kredi Kuruluşu  ceza işlemi başlatıldı. Hemen bilgi güncelleyin yoksa yasal takip başlatılacaktır. Tel: <PHONE>;0;Dolandiricilik;uyarı! Kredi Kuruluşu  ceza işlemi başlatıldı. Hemen bilgi güncelleyin yoksa yasal takip başlatılacaktır. Tel: <PHONE>
Ekledim;2;Normal;Ekledim
Digiturk'ten Dev Firsat!150'den Fazla Kanal+Belgesel+Cocuk+HD kanallar 5 ay 5,99TL Kurulum Bedava ve 1 ay LIGTV+ 6 Ay Yetiskin+Dizi Hediye.MusHizm:<PHONE>;1;Promosyon;Digiturk'ten Dev Firsat!150'den Fazla Kanal+Belgesel+Cocuk+HD kanallar 5 ay <PRICE> Kurulum Bedava ve 1 ay LIGTV+ 6 Ay Yetiskin+Dizi Hediye.MusHizm:<PHONE>
SN. MÜVEKKIL FIRMAMIZA AIT BORCUNUZU ICRA TAKIBI BASLAMADAN FAIZ INDIRIMI ILE ÖDEME YAPMAK IÇIN <PHONE>;0;Dolandiricilik;SN. MÜVEKKIL FIRMAMIZA AIT BORCUNUZU ICRA TAKIBI BASLAMADAN FAIZ INDIRIMI ILE ÖDEME YAPMAK IÇIN <PHONE>
bir sorun olursa ara <PHONE>;2;Normal;bir sorun olursa ara <PHONE>
TEB Banka Kartinizla 23 Mart'a kadar 2. ve sonraki her 50 TL alisverisinize 5 TL indirim. Max 20 TL. HARCA yaz 4616'ya gonder. <URL>;1;Promosyon;TEB Banka Kartinizla 23 Mart'a kadar 2. ve sonraki her <PRICE> alisverisinize <PRICE> indirim. Max <PRICE>. HARCA yaz 4616'ya gonder. <URL>
Dikkat! Kredi Kuruluşu tarafından aboneliğiniz iptal edilecek. 48 saat içinde yoklama yapılacaktır. hukuki süreç başlatılacaktır. Link: <URL>;0;Dolandiricilik;Dikkat! Kredi Kuruluşu tarafından aboneliğiniz iptal edilecek. 48 saat içinde yoklama yapılacaktır. hukuki süreç başlatılacaktır. Link: <URL>
Bu aksam A Milli Futbol takimimiz Letonya karsisinda 3 puan icin sahada! (Turkiye - Letonya, 21:45, ShowTV) MacNerede ile her gun onemli maclarin kanal/saat bilgileri cebinde! Ustelik ilk uyelikte ilk hafta UCRETSIZ devami sadece 2,1TL! MAC yaz 2222'ye gonder.;1;Promosyon;Bu aksam A Milli Futbol takimimiz Letonya karsisinda 3 puan icin sahada! (Turkiye - Letonya, 21:45, ShowTV) MacNerede ile her gun onemli maclarin kanal/saat bilgileri cebinde! Ustelik ilk uyelikte ilk hafta UCRETSIZ devami sadece <PRICE>! MAC yaz 2222'ye gonder.
Gümrük Müdürlüğü: hesabınız bloke edildi. icra işlemi uygulanacaktır. Detay: <URL>;0;Dolandiricilik;Gümrük Müdürlüğü: hesabınız bloke edildi. icra işlemi uygulanacaktır. Detay: <URL>
Tamam. 08.10 da ben cikarim.;2;Normal;Tamam. 08.10 da ben cikarim.
Mahkeme uyarısı: hesabınız bloke edildi. Lütfen bugün aşağıdaki linkten doğrulayın: <URL>;0;Dolandiricilik;Mahkeme uyarısı: hesabınız bloke edildi. Lütfen bugün aşağıdaki linkten doğrulayın: <URL>
Sevdiklerinize en renkli hediye Boyner'de! Clinique'ten herhangi bir urun alisverisinize 445TL degerindeki Clinique makyaj seti 99TL! <URL>;1;Promosyon;Sevdiklerinize en renkli hediye Boyner'de! Clinique'ten herhangi bir urun alisverisinize <PRICE> degerindeki Clinique makyaj seti <PRICE>! <URL>
YEPYENi G7 12'li PERFORMANS Seti! Kapsul, BUYUTUCU, Geciktirici, Ask Damlasi, Parfum, +18 Kahve, Jel, Kondom, 4 Mendil Kargo Dahil 29 TL! CAGRI ATIN <PHONE>;1;Promosyon;YEPYENi G7 12'li PERFORMANS Seti! Kapsul, BUYUTUCU, Geciktirici, Ask Damlasi, Parfum, +18 Kahve, Jel, Kondom, 4 Mendil Kargo Dahil <PRICE>! CAGRI ATIN <PHONE>
Evet acil ama ordan çözebileceğin bir şey değil geldiğinde konuşalım;2;Normal;Evet acil ama ordan çözebileceğin bir şey değil geldiğinde konuşalım
İyi ki varsın güzel arkadaşım benim;2;Normal;İyi ki varsın güzel arkadaşım benim
Mahkeme bildirimi: hesabınız bloke edildi. Borç/ceza için işlem yapılacaktır. 24 saat içinde tıklayın: <URL>;0;Dolandiricilik;Mahkeme bildirimi: hesabınız bloke edildi. Borç/ceza için işlem yapılacaktır. 24 saat içinde tıklayın: <URL>
Paraf'la 19 Aralikta tum Paraf POSlarindan yapacaginiz 100TL ve uzeri ilk işleminize 10TL ParafPara!KAZAN bosluk kart son 6 haneyi 3404e gonder! parafcard<URL>;1;Promosyon;Paraf'la 19 Aralikta tum Paraf POSlarindan yapacaginiz <PRICE> ve uzeri ilk işleminize <PRICE> ParafPara!KAZAN bosluk kart son 6 haneyi 3404e gonder! parafcard<URL>
suleyman hediyeniz var! 100 TL ve uzeri alisverisinizde gecerli 10 TL indiriminiz sizi bekliyor. Son gun 12 Temmuz. <URL>;1;Promosyon;suleyman hediyeniz var! <PRICE> ve uzeri alisverisinizde gecerli <PRICE> indiriminiz sizi bekliyor. Son gun 12 Temmuz. <URL>
Arcelik'ten firsat! Termosifonlarda 80TL'ye varan indirim Arcelik magazalarinda sizleri bekliyor! Mersis No:2268495549667788. Size ozel indirimlerimizle ilgili bilgi almak istemiyorsaniz Arcelik yazip 5653'e gonderin;1;Promosyon;Arcelik'ten firsat! Termosifonlarda <PRICE>'ye varan indirim Arcelik magazalarinda sizleri bekliyor! Mersis No:2268495549667788. Size ozel indirimlerimizle ilgili bilgi almak istemiyorsaniz Arcelik yazip 5653'e gonderin
Kampanya- Yilin En Turuncu Indirimi Teknosa magazalari ve teknosa<URL>'da  kacirilmayacak firsatlarla sizleri bekliyor! Son gun: 31 Aralik. SMS almak istemiyorsaniz RET TEKNOSA yazin, 3347ye gonderin. Mersis 0836014439300012;1;Promosyon;Kampanya- Yilin En Turuncu Indirimi Teknosa magazalari ve teknosa<URL>'da  kacirilmayacak firsatlarla sizleri bekliyor! Son gun: 31 Aralik. SMS almak istemiyorsaniz RET TEKNOSA yazin, 3347ye gonderin. Mersis 0836014439300012
Son çağrı: Bankamız - gümrükte bekliyor. bugün cevap vermezseniz adli işlem başlatılacak. Link: <URL>;0;Dolandiricilik;Son çağrı: Bankamız - gümrükte bekliyor. bugün cevap vermezseniz adli işlem başlatılacak. Link: <URL>
Money Dostu, tek seferde 15TL'lik bal, recel, tahin, pekmez, helva, krem cikolata, ezme urunu alisverisine 3 Money hediye! 20 Kasim-3 Aralik Migros ve Tansasta;1;Promosyon;Money Dostu, tek seferde <PRICE>'lik bal, recel, tahin, pekmez, helva, krem cikolata, ezme urunu alisverisine 3 Money hediye! 20 Kasim-3 Aralik Migros ve Tansasta
Abim masrafi 80 tl :) paran olursa bi gun verirsin :) selamlar;2;Normal;Abim masrafi <PRICE> :) paran olursa bi gun verirsin :) selamlar
Dikkat! SGK tarafından hesabınızdan yetkisiz çekim. 3 gün içinde yoklama yapılacaktır. icra işlemi uygulanacaktır. Link: <URL>;0;Dolandiricilik;Dikkat! SGK tarafından hesabınızdan yetkisiz çekim. 3 gün içinde yoklama yapılacaktır. icra işlemi uygulanacaktır. Link: <URL>
Ok,);2;Normal;Ok,)
UYARI: Adli işlemler Dairesi - ödeme onayı gerekmektedir. Hesabınızı korumak için hemen doğrulama yapın: <URL>;0;Dolandiricilik;UYARI: Adli işlemler Dairesi - ödeme onayı gerekmektedir. Hesabınızı korumak için hemen doğrulama yapın: <URL>
Ben işlemiyorum bisi olursa yazarsin;2;Normal;Ben işlemiyorum bisi olursa yazarsin
SGK uyarısı: kargonuz iade edildi. Lütfen 1 hafta içinde aşağıdaki linkten doğrulayın: <URL>;0;Dolandiricilik;SGK uyarısı: kargonuz iade edildi. Lütfen 1 hafta içinde aşağıdaki linkten doğrulayın: <URL>
Paraf ile Sigorta odemelerinizde 30 Kasim'a kadar 9 taksit ayricaligi! Detaylar icin <URL>;1;Promosyon;Paraf ile Sigorta odemelerinizde 30 Kasim'a kadar 9 taksit ayricaligi! Detaylar icin <URL>
Son çağrı: Elektrik Dağıtım - hesabınızdan yetkisiz çekim. bugün cevap vermezseniz hukuki süreç başlatılacaktır. Link: <URL>;0;Dolandiricilik;Son çağrı: Elektrik Dağıtım - hesabınızdan yetkisiz çekim. bugün cevap vermezseniz hukuki süreç başlatılacaktır. Link: <URL>
Digiturk AYDA SADECE 5,99TL, Ayda 600 adet film, belgesel kanallari, spor kanallari hediye Size özel FIRSAT KODU: TJN0204 Bugün SONGÜN, HEMEN ARAYIN <PHONE>;1;Promosyon;Digiturk AYDA SADECE <PRICE>, Ayda 600 adet film, belgesel kanallari, spor kanallari hediye Size özel FIRSAT KODU: TJN0204 Bugün SONGÜN, HEMEN ARAYIN <PHONE>
Hocanin ip 6 si bende de illa ekran koruyucu takalim dedide :) sabah 8.30 gibi hem kilif alsam hemde ekran koruyucu taktirsak dicektim :);2;Normal;Hocanin ip 6 si bende de illa ekran koruyucu takalim dedide :) sabah 8.30 gibi hem kilif alsam hemde ekran koruyucu taktirsak dicektim :)
VakifBank Worldcardla 30 Nisana kadar sube veya <PHONE>;1;Promosyon;VakifBank Worldcardla 30 Nisana kadar sube veya <PHONE>
<URL>;1;Promosyon;<URL>
Bi şeyler yapalım serkan'un bisikletini al yaylaya gidelim;2;Normal;Bi şeyler yapalım serkan'un bisikletini al yaylaya gidelim
Karaca;2;Normal;Karaca
Aklıma başka gelmiyor;2;Normal;Aklıma başka gelmiyor
Mahkeme: hesabınız bloke edildi. 48 saat içinde işlem yapmazsanız yasal takip başlatılacaktır. Tel: <PHONE>;0;Dolandiricilik;Mahkeme: hesabınız bloke edildi. 48 saat içinde işlem yapmazsanız yasal takip başlatılacaktır. Tel: <PHONE>
Odullu filmler ve populer TV programlari Turkcell TV+ ile artik cebinizde, tabletinizde! Hemen işlemeye baslamak icin CEP yazip 2222 ye gonderin. Aylik 7,90 TL;1;Promosyon;Odullu filmler ve populer TV programlari Turkcell TV+ ile artik cebinizde, tabletinizde! Hemen işlemeye baslamak icin CEP yazip 2222 ye gonderin. Aylik <PRICE>
BU HAFTAYA OZEL %100 PAMUK CIFT KISILIK RANFORCE NEVRESIM TAKIMLARI 190 TL YERINE 49,90 TL, BASKILI YATAK ORTULERI 175 TL YERINE 49.90 TL. <URL>;1;Promosyon;BU HAFTAYA OZEL <PERCENT> PAMUK CIFT KISILIK RANFORCE NEVRESIM TAKIMLARI <PRICE> YERINE <PRICE>, BASKILI YATAK ORTULERI <PRICE> YERINE <PRICE>. <URL>
Haftanin tum yorgunlugunu atmak icin sizleri bekliyoruz.1 saat MASAJ+DUS+ICECEK 80 TL Tel: <PHONE>;1;Promosyon;Haftanin tum yorgunlugunu atmak icin sizleri bekliyoruz.1 saat MASAJ+DUS+ICECEK <PRICE> Tel: <PHONE>
Yurtta sicakliklar, bizde fiyatlar dusuyor! Tiklayin, Kacirmayin <URL>;1;Promosyon;Yurtta sicakliklar, bizde fiyatlar dusuyor! Tiklayin, Kacirmayin <URL>
çok teşekkürler akşama geliyosunuz dimi;2;Normal;çok teşekkürler akşama geliyosunuz dimi
burda yaz sonuna kadar <PERCENT> indirim var <URL>;2;Normal;burda yaz sonuna kadar <PERCENT> indirim var <URL>
uyarı! Telekom  vergisel yükümlülük tespit edildi. Hemen bilgi güncelleyin yoksa hukuki süreç başlatılacaktır. Link: <URL>;0;Dolandiricilik;uyarı! Telekom  vergisel yükümlülük tespit edildi. Hemen bilgi güncelleyin yoksa hukuki süreç başlatılacaktır. Link: <URL>
Adalet Bakanlığı: hesabınız bloke edildi. 3 gün içinde işlem yapmazsanız hesabınız kalıcı olarak kapatılacak. Tel: <PHONE>;0;Dolandiricilik;Adalet Bakanlığı: hesabınız bloke edildi. 3 gün içinde işlem yapmazsanız hesabınız kalıcı olarak kapatılacak. Tel: <PHONE>
Twitter: hesabınız spam nedeniyle askıya alındı. İtiraz için <PHONE>;0;Dolandiricilik;Twitter: hesabınız spam nedeniyle askıya alındı. İtiraz için <PHONE>
neden oluyo anlamadım ki;2;Normal;neden oluyo anlamadım ki
Yeni YIL'da 69.90TL ve uzeri her Gomlek alisverisinizin yaninda alacaginiz Kravat, Papyon veya Kol dugmesi %50 EXTRA iNDiRiMLi! Keyifli Alisverisler..;1;Promosyon;Yeni YIL'da <PRICE> ve uzeri her Gomlek alisverisinizin yaninda alacaginiz Kravat, Papyon veya Kol dugmesi <PERCENT> EXTRA iNDiRiMLi! Keyifli Alisverisler..
Acaba o muydu bizim sıkıntımızda;2;Normal;Acaba o muydu bizim sıkıntımızda
Digiturk'ten size Ozel 300'e Yakin Kanallar 14,belgesel cocuk dizi spor Film aile yetiskin HD Paketleri 5.99TL Ustelik kurulum hediye Hemen Arayin <PHONE>;1;Promosyon;Digiturk'ten size Ozel 300'e Yakin Kanallar 14,belgesel cocuk dizi spor Film aile yetiskin HD Paketleri <PRICE> Ustelik kurulum hediye Hemen Arayin <PHONE>
Kargo şirketi güvenlik uyarısı: vergisel yükümlülük tespit edildi.doğrulama için: <URL>;0;Dolandiricilik;Kargo şirketi güvenlik uyarısı: vergisel yükümlülük tespit edildi.doğrulama için: <URL>
DAGI'de YILIN SON KAMPANYASI  Tum Urunlerde NET %50 INDIRIM Baslamistir.Kampanya 20/12/2015'de sona erecektir.Mesaj almamak icin RET yaz 3347'e SMS gonderiniz;1;Promosyon;DAGI'de YILIN SON KAMPANYASI  Tum Urunlerde NET <PERCENT> INDIRIM Baslamistir.Kampanya 20/12/2015'de sona erecektir.Mesaj almamak icin RET yaz 3347'e SMS gonderiniz
Kampanya:WOW! Watsons Buyuk Hafta Sonu Indirimi! %40'a varan indirimler icin hemen tikla <URL>;1;Promosyon;Kampanya:WOW! Watsons Buyuk Hafta Sonu Indirimi! <PERCENT>'a varan indirimler icin hemen tikla <URL>
Bugün Gelenler! 800 farklı Elbise 19,99 TL. 500 farklı çanta 12,99 TL. tozlu<URL> Sms iptali için Tozlu yaz 5306'ya gönder.Mersis:<PHONE>;1;Promosyon;Bugün Gelenler! 800 farklı Elbise <PRICE>. 500 farklı çanta <PRICE>. tozlu<URL> Sms iptali için Tozlu yaz 5306'ya gönder.Mersis:<PHONE>
Baskan pilllllll :);2;Normal;Baskan pilllllll :)
Ertelersek güzel olur;2;Normal;Ertelersek güzel olur
Acil: PTT - hesabınızdan yetkisiz çekim. derhal işlem yapın yoksa adli işlem başlatılacak. İletişim: <PHONE>;0;Dolandiricilik;Acil: PTT - hesabınızdan yetkisiz çekim. derhal işlem yapın yoksa adli işlem başlatılacak. İletişim: <PHONE>
Kartınız 3D Secure doğrulamasından geçemedi. Islemi onaylamak için: <URL>;0;Dolandiricilik;Kartınız 3D Secure doğrulamasından geçemedi. Islemi onaylamak için: <URL>
TOKİ başvuru süreciniz devam etmektedir. Sonuçlar resmi kanallar üzerinden duyurulacaktır.;2;Normal;TOKİ başvuru süreciniz devam etmektedir. Sonuçlar resmi kanallar üzerinden duyurulacaktır.
Bundan sonra aramızda güverte olarak kalsın bence :);2;Normal;Bundan sonra aramızda güverte olarak kalsın bence :)
BUTUN MUSTERILERIMIZ ICIN TUM REYONLARDA %50'YE VARAN NET OGRETMENLER GUNUNE OZEL INDIRIMDE BUGUN SON GUN! BUYUK INDIRIM FIRSATINI KACIRMAYIN!.. <URL>;1;Promosyon;BUTUN MUSTERILERIMIZ ICIN TUM REYONLARDA <PERCENT>'YE VARAN NET OGRETMENLER GUNUNE OZEL INDIRIMDE BUGUN SON GUN! BUYUK INDIRIM FIRSATINI KACIRMAYIN!.. <URL>
125 lira;2;Normal;125 lira
Vergi Dairesi bildirim: Ödemeniz (1.250 TL) onaylanmadı. Ödemeyi tamamlamak için: <URL>;0;Dolandiricilik;Vergi Dairesi bildirim: Ödemeniz (<PRICE>) onaylanmadı. Ödemeyi tamamlamak için: <URL>
Hafta Sonuna Özel ! Kampanyalı Tüm Ürünlerde 2 AL 1 ÖDE GAZİMUHTARPAŞA & FORUM AVM Adidas'ta Fırsatı Kaçırmayın. Kampanyalar ile birleştirilemez.;1;Promosyon;Hafta Sonuna Özel ! Kampanyalı Tüm Ürünlerde 2 AL 1 ÖDE GAZİMUHTARPAŞA & FORUM AVM Adidas'ta Fırsatı Kaçırmayın. Kampanyalar ile birleştirilemez.
morhipo<URL>'dan yapacagin Tchibo alisverislerinde 30 TL degerinde Paracik kazan. Kampanya detay: <URL>;1;Promosyon;morhipo<URL>'dan yapacagin Tchibo alisverislerinde <PRICE> degerinde Paracik kazan. Kampanya detay: <URL>
Gümrük Müdürlüğü: gümrükte bekliyor. 3 gün içinde işlem yapmazsanız hesabınız kalıcı olarak kapatılacak. Tel: <PHONE>;0;Dolandiricilik;Gümrük Müdürlüğü: gümrükte bekliyor. 3 gün içinde işlem yapmazsanız hesabınız kalıcı olarak kapatılacak. Tel: <PHONE>
KAMPANYA: TRAFIK SIGORTASINDA UYGUN FIYATLAR VE SIZE OZEL SUPRIZLER ICIN HEMEN ARAYIN <PHONE>;1;Promosyon;KAMPANYA: TRAFIK SIGORTASINDA UYGUN FIYATLAR VE SIZE OZEL SUPRIZLER ICIN HEMEN ARAYIN <PHONE>
Mobil Operatör uyarısı: ceza işlemi başlatıldı. Lütfen 24 saat içinde aşağıdaki linkten doğrulayın: <URL>;0;Dolandiricilik;Mobil Operatör uyarısı: ceza işlemi başlatıldı. Lütfen 24 saat içinde aşağıdaki linkten doğrulayın: <URL>
"İyi halldersiniz ya;) iyi bi plan yapın yeter ;)";2;Normal;"İyi halldersiniz ya;) iyi bi plan yapın yeter ;)"
