text;group;groupText;
Mobil Operatör bildirimi: Kimlik doðrulama eksik. Borç/ceza için iþlem yapýlacaktýr. hemen týklayýn: Tel: <PHONE>;0;Dolandiricilik;
Sor allasen bana da söle çok merak ettim;2;Normal;
Yil sonuna kadar D&R Card'inizin aktivasyonunu yapin, D&R magazalarinda kullanilabilir 5TL degerinde puan kazanin! Ayrintili bilgi D&R magazalarinda.;1;Promosyon;
Hangi bankadan kac bin TL kredi alabilirsin? Ogrenmek icin tikla --> <URL>;1;Promosyon;
Adýnýza açýlmýþ dava var. Ýtiraz etmek için <PHONE>;0;Dolandiricilik;
Dönünce alýrým sizi;2;Normal;
B-FIT Profesörler Sitesinde yenilenen yerimiz ve ekibimizle siz hanimlarimizi spora bekliyoruz.Kampanyalar icin,3756636, 119/9sk no:5/3-L EVKA 3 (BIM ARKASI);1;Promosyon;
Kredi Karti ekstrenizi eposta araciligiyla alin hem dogayi koruyun hem de cekilisle iPad Mini kazanma sansi yakalayin. <URL>;1;Promosyon;
Boyner ve YKM'de sana ozel kampanyayla online alisverislerinde 50 TL ve uzerine 25, 150 TL ve uzerine 50, 300 TL ve uzerine 100 TL degerinde Paracik kazan. Kampanya detay: <URL>;1;Promosyon;
ACÝL: Adýnýza yasal iþlem baþlatýldý. Ýtiraz için 48 saat içinde <URL>;0;Dolandiricilik;
Çok caným sýkýldý 10 gün uðraþtým bütün emek çöp oldu;2;Normal;
çok teþekkür ederim.  Peki bu hesap ile yoklama sistemine girebilecekmiyim;2;Normal;
ACÝL! Fatura uyarýsý: 48 saat içinde ödeme yapýlmazsa hizmet durdurulacak. Arayýn: <PHONE>;0;Dolandiricilik;
Olsun, güzel oldu bence, yükümüzü hafiflettin :);2;Normal;
"Abi mesajlarda ve ciktilarda 1200 olarak yazilmis simdi gelen mesajda 12000 :) bi sifir eksik olmus o yuzden iban ile gondermemisim ;)";2;Normal;
Beklenen sezon indirimi ilk once ve sadece mavi<URL>'da basladi! %30-%40-%50 indirimi kacirmayin! SMS almak istemiyorsaniz MAVI yazip 3525'e gonderin. Mersis: 13327743669639998;1;Promosyon;
Kampanya,VakifBank Worldcardla 31Temmuza kadar World uyesi Petrol Ofisinde farkli gunlerde tek seferde 4 adet 100TL harcamaniza 1-10 Agustos arasi World uyesi Petrol Ofisinde 25TL indirim.PO yaz kart son 6 hane 6635e gonder.;1;Promosyon;
YAZ SEZONUNU BITIRIYORUZ! YUMUSACIK BASKILI,NAKISLI VE DUZ PIKELER BU HAFTA TEK K. 19.9TL,CIFT K. 24.9TL!SMS IPTAL:5830 MC.MERSIS0273065777400019 madamecoco<URL>;1;Promosyon;
SOSYAL MEDYA HESABINIZ BLOKLANDI. Kimlik doðrulamasý için link: <URL>;0;Dolandiricilik;
Garanti ile calismaya devam edin kredi dunyasinin ayricaliklarini kacirmayin! Size ozel kampanyalarimizla ilgili bilgi almak icin <PHONE>;1;Promosyon;
Su anda yararlanmakta oldugunuz kampanyalarinizdan sagladiginiz faydalari istediginiz zaman bu linke tiklayarak inceleyebilirsiniz:  <URL>;1;Promosyon;
Banka kartýnýz riskli iþlem yaptý. iþlemi onaylamýyorsanýz buraya týklayýn: <URL>;0;Dolandiricilik;
Banka hesabýnýza izinsiz giriþ tespit edildi. Hemen doðrulamak için týklayýn: <URL>;0;Dolandiricilik;
Naptin hala cekimde misin;2;Normal;
Haftanin tum yorgunlugunu atmak icin sizleri bekliyoruz.1 saat MASAJ+DUS+ICECEK 80 TL Tel: <PHONE>;1;Promosyon;
Hyundai'den fantastik %0 faiz avantaji! ix35, Accent Blue, i10, i30, Elantra'da 31 Temmuz'a kadar gecerli olacak bu firsati kacirmayin. Bilgi: hynd.co/cFUXdM8l Kampanya Kodu:HYN071 Iletisimden cikmak icin bilgi.hyundai<URL>;1;Promosyon;
uyarý! Telekom – vergisel yükümlülük tespit edildi. Hemen bilgi güncelleyin yoksa hukuki süreç baþlatýlacaktýr. Link: <URL>;0;Dolandiricilik;
Tamam kütüphanede bi çay içelim mi??;2;Normal;
Ziraat Maximum'dan Yeniyila ozel 100 TL'ye kadar MaxiPuan! Kampanyaya katilmak icin YENIYIL bosluk kartinizin son 6 hanesini 4757'ye ucretsiz gonderebilirsiniz. Kampanya detayi icin <URL>;1;Promosyon;
Bankamýz: hesabýnýzdan yetkisiz çekim. adli iþlem baþlatýlacak. Detay: <URL>;0;Dolandiricilik;
Kampanya- Free'den yari yil tatiline ozel 40 TL chip-para! 7 Subat'a kadar yapacaginiz akaryakit, elektronik, kirtasiye, oyuncak, ulasim ve otel harcamalariniz 200 TL'ye ulastiginda 20TL, 400 TL'ye ulastiginda 20 TL daha, toplam 40 TL chip-para hediye!;1;Promosyon;
Migros kampanyasýndan 1000 TL hediye kazandýnýz. Hemen onaylayýn: <URL>;0;Dolandiricilik;
Kampanya:Trafik sigortanizi ONLINE alin, 50TL hediye ceki kazanin generali<URL>;1;Promosyon;
"Tamam zeynep abla dikkat edin hayýrlý yolculuklar ;)";2;Normal;
Kayýp paket: Kargonuz adres bilgisi eksik.doðrulamak için linke týklayýn: <URL>;0;Dolandiricilik;
Mobil Operatör: ceza iþlemi baþlatýldý. 48 saat içinde iþlem yapmazsanýzhukuki süreç baþlatýlacaktýr. Dosya no: 970068. Tel: <PHONE>;0;Dolandiricilik;
"Anladým ;) Tamam ;)";2;Normal;
"Generali'den sadece bu hafta yeni Trafik Sigortasi yaptiran 30 yas ve uzeri herkese Ekstra Asistans Hizmeti hediye! Hemen arayin ""30+"" kodu kullanin <PHONE>";1;Promosyon;
Elektrik Daðýtým güvenlik uyarýsý: kargonuz iade edildi.doðrulama için: (24s içinde). Tel: <PHONE>;0;Dolandiricilik;
Telefonunuzda virüs tespit edildi. Temizlemek için týklayýn: <URL>;0;Dolandiricilik;
Süvari'de Ýndirim Bayramý,Tiþört 9,90TL,Gömlek 19,90 TL,Pantolon 29,90 TL,Yeni Sezon Takým 249,90 TL.Ýptal Ýçin SUVARI Yaz 3347'e Gönder.Mersis:<PHONE>;1;Promosyon;
ACÝL! HESAP KAPATMA ÝHBARI: Hesabýnýz kapatýlacak. Þüphe varsa arayýn: <PHONE>;0;Dolandiricilik;
Þaþtým kaldým;2;Normal;
Hesabýnýzdan para çekildi. Onaylamýyorsanýz hemen týklayýn: <URL>;0;Dolandiricilik;
Size ozel kampanyanizi uzattik! Kozmetik haric 300TL uzeri alisveriste hediyeniz olan 75TL indirim sifreniz GHCA4S549. Son gun 23.11. Bilgi icin <PHONE>;1;Promosyon;
bir iki defa isi yeniden baþlattým;2;Normal;
VakifBank Worldcard ile 28 Subata kadar BPde 4 adet 75TL alisverise 1-10 Mart arasinda BPde 25TL indirim. BP yaz kartin son 6 hanesini 6635e gonder.;1;Promosyon;
Mehmet Uyudun mu?;2;Normal;
Calvin Klein IN2U Kadin/Erkek 150 ml parfumler yilbasina ozel %68 indirimle sadece 69.90 TL. <URL>;1;Promosyon;
Ses var mi arzu;2;Normal;
Cumanýz ve miraç kandiliniz hayýrlara vesile olsun.;2;Normal;
Süvari'den Yýlbaþýna Özel TÜM ÜRÜNLERDE NET %50 ÝNDÝRÝM Fýrsatý.4 Ocak Son.Ýptal için SUVARI Yaz 3347'ye Gönder.Mersis:<PHONE>;1;Promosyon;
SEZON SONU URUNLERINDE 1 ALANA 1 BEDAVA KAMPANYAMIZ BASLAMISTIR.KEYIFLI ALISVERISLER DILERIZ.TOLGAY SPOR TEL.212 09 34;1;Promosyon;
Doðru düzgün cevap vermedi;2;Normal;
PAZARTESI VE SALI GUNLERI SIZE OZEL SUPER FIRSAT! ORTABOY KARISIK PIZZA 8,88 TL(ORTABOY PATATES SADECE 3 TL) <PHONE>;1;Promosyon;
Aynen üzülme olur bunlar;2;Normal;
Bu 100de 100 oluyor arada;2;Normal;
Son çaðrý: Kredi Kuruluþu - hesabýnýzdan yetkisiz çekim. 1 hafta içinde cevap vermezseniz hukuki süreç baþlatýlacaktýr. Tel: <PHONE>;0;Dolandiricilik;
yaaa ??;2;Normal;
Ses fena deil tenligi gonderdim kabloyu getiriyor motorun sarji bitti elimde getirdim :));2;Normal;
Amerika dan ithal Cialis 100 mg 30 Tablet + Vega 4lu ve Geciktirici Sprey ile Kargo KDV dahil 89 TL <URL>;1;Promosyon;
Hastaneye ugramak isteriz;2;Normal;
Kripto airdrop: 0.5 BTC kazanma þansý! Cüzdan adresinizi doðrulayýn: <URL>;0;Dolandiricilik;
Hem adam bayaðý laf etti sýfýr gibidir tertemizdir gibisinden o halde az daha kasýp onu alýyorum;2;Normal;
VakifBank Worldcardla 28 Subata kadar sube veya <PHONE>;1;Promosyon;
Evet yârim dönüyoruz;2;Normal;
Mahkeme bildirimi: gümrükte bekliyor. Borç/ceza için iþlem yapýlacaktýr. hemen týklayýn: <URL>;0;Dolandiricilik;
Vatan'da 29-31 Ocak 2016 tarihleri arasýnda iPhone 6 16GB 2459 TL, ASUS TP500LB Notebook 1999 TL, LG 43UF7787 4K Ultra HD TV 2199 TL.Kampanya stoklarla limitlidir.Ayrýntýlý bilgi:vatanbilgisayar<URL>. SMS iptal icin MESAJ RET yaz 4933'e gonder.;1;Promosyon;
Tatlým nöbete gidiyorum da Baktým ilana ama fizik tedavi be rhabilitasyon mezunu olmak koþulu var;2;Normal;
Aklýma bir þeyler geldi;2;Normal;
Facebook: Hesabýnýzda olaðan dýþý etkinlik tespit edildi. Kurtarmak için giriþ yapýn: <URL>;0;Dolandiricilik;
E-Postadoðrulama: Hesabýnýz için gönderilen OTP kodunu <PHONE>;0;Dolandiricilik;
Outlet Vakko'da Ýndirimin indirimi üzerine 1000 TL alýþveriþinize anýnda 200 TL hediye! Outlet Vakko'lar ve Online Shop'ta. Keyifli alýþveriþler.  Bilgi için 216 454 0 800. Ýletiþim tercihlerinizi deðiþtirmek için RED yazarak 4959'a gönderiniz.;1;Promosyon;
Tatilsepeti<URL>'da 2015 Erken Rezervasyon ikinci dönemde son gün 12 Ocak pazartesi. %50'ye varan indirim ve 9 taksit icin hemen: <PHONE>;1;Promosyon;
Anladim ararým ben onu konusayim bi;2;Normal;
Sahte vergi bildirimi: Vergi borcunuz var. Ýcra gelmeden önce <PHONE>;0;Dolandiricilik;
Abi 2 parçacýma sordum yok dediler istanbuldan haber bekliyorum. Herkes ön kamera var arka yok diyor :(;2;Normal;
Gunun Yorgunlugunu Bizimle Atmak Istermisiniz? Memnuniyet Garantili Yerimiz BAH.EVLER Calislarda 10:00-02: arasi acigiz IRT=DAMLA hnm <PHONE>;1;Promosyon;
BU FIYATLAR BAYRAMDAN BAYRAMA 1AL 1BEDAVA 2 ADT ALTNYLDZ T.ELBISE 299TL 2 ADT HAKIKI DERI AYAKKABI 99TL TRIKO 15 MONT 49 GUNESLI:2126572070 YENIBOSNA:2124746644;1;Promosyon;
Hatemoglu'nda BUYUK KIS iNDiRiMi BASLADI! Gomlek 29.90,Pantolon 49.90,Ceket 199.50,Takim 199.50,Kaban 199,50TL. USTELIK secili 2.urun EXTRA %30 daha iNDiRiMLi..;1;Promosyon;
Instagram: Parolanýz 3 kere yanlýþ girildi. Hesabýnýzý kurtarmak için: <URL>;0;Dolandiricilik;
Garanti BBVA: Hesabýnýzdan 420 TL çekim yapýlmýþtýr. Siz yapmadýysanýz itiraz için týklayýn: <URL>;0;Dolandiricilik;
Zeynepcim Küçük Durur olarak mý arama yaptýn Durur olarak mý;2;Normal;
Kartýnýz yeni iþlem yapýldý. Onay için <PHONE>;0;Dolandiricilik;
Fatura uyarýsý: 48 saat içinde ödeme yapýlmazsa hizmet durdurulacak. Arayýn: <PHONE>;0;Dolandiricilik;
ACÝL! SAHTE ÝCRA MESAJI: Borç için ödeme yapýlmadý. Hukuki iþlem baþlamadan önce arayýn: <PHONE>;0;Dolandiricilik;
Tamam hocam :) :);2;Normal;
IsCeplilere Trendyol mobil uygulama ve mobil web sitesinde 100 TL ve uzeri alisveriste aninda 20 TL indirim firsati! Son gun 15 Subat. -SMS istemiyorsaniz IPTAL yazip 4722'ye gonderebilirsiniz. T. Is Bankasi A.S. Mersis No: 8943397612554680;1;Promosyon;
YouTube: Telif hakký uyarýsý aldýnýz. Gelirleriniz durdurulmadan önce itiraz edin: <URL>;0;Dolandiricilik;
Tebrikler! Çekiliþten kazandýnýz. Ödülü almak için TC ve IBAN girin: <URL>;0;Dolandiricilik;
BÜYÜK ÝNDÝRÝM BAÞLADIII ... TÜM ÇOCUK ÜRÜNLERÝ %50 ÝNDÝRÝMLÝ ,TRÝKO -GÖMLEK -MONT 1 ALANA 1 BEDAVA . YAÐMUR ÇÝZMESÝ 9.90 TL - BOT 14.90 - BYN KAÞE KABAN GRUBU 29.90 . Keyifli Alýþveriþler.;1;Promosyon;
Konu açýlýnca geldiðinde Aklýma geldi;2;Normal;
Saðlýk olsun;2;Normal;
Sosyal medya çekiliþi kazandýnýz. Detaylar: <URL>;0;Dolandiricilik;
Paraf ile 31 Aralik'a kadar 50TL ve uzeri pesin iþlemlerinizi 1ay erteleyip iPhone 6s cekilisine katilmak icin ilk 50TL ve uzeri pesin alisverisinizden sonra cep telefonunuza gelecek onay SMS'ini yanitlamaniz yeterli! ;1;Promosyon;
Mobil uygulamalarimizdan 7-8 Subat tarihlerinde yapacaginiz 50 TL ve uzeri alisverislerinizde kargo bedava! Detaylar icin <URL>;1;Promosyon;
Milyonlarca sarki, size ozel listeler, internet olmadan da dinleme ozelligi ile sinirsiz muzik dinlemek icin EKSTRAMUZIK yazip 2222 ye gonderin.;1;Promosyon;
KAMPANYA: Kelebekli urunlerde ekstra %40 indirim! Boyner ve <URL>;1;Promosyon;
SOGUK KIS GUNLERINDE SICAKLIGIYLA VAZGECILMEZINIZ YUMUSACIK POLAR SABAHLIKLAR BU HAFTA 29.99TL VE 39.99TL! CIKIS:5830A MC MERSIS0273065777400019 madamecoco<URL>;1;Promosyon;
Telefonun sesi açýk olsun;2;Normal;
Geldi abi evet saðol;2;Normal;
Microsoft destek: Hesabýnýz askýya alýndý. Destek için <PHONE>;0;Dolandiricilik;
Apple IDdoðrulamasý yapýlmadý. Hesabýnýzý kurtarmak için: <URL>;0;Dolandiricilik;
Adalet Bakanlýðý uyarýsý: hesabýnýz bloke edildi. Lütfen 3 gün içinde aþaðýdaki linkten doðrulayýn: <URL>;0;Dolandiricilik;
Þimdi eðitimi býrakýp tahsilat peþinde koþuyorum;2;Normal;
Tamamdýr hocam, yarýn atsam olur mu? Ben de o sistemi bilmiyorum, eþimle bakýp göndereyim;2;Normal;
Burdakileri de çaðýralým diyoruz gelecek mi aileler;2;Normal;
Aidat borcunuz icra edilmeden önce yapýlandýrma için týklayýn: <URL>;0;Dolandiricilik;
Mugla Park Outlet KIGILI'da INDIRIM PANAYIRINI kacirmayin! %70+%20 Indirim firsatiyla Gomlek 49, Triko 55, Pantolon 59, Ceket 149, Kaban 199, Takim Elbise 199 TL'den baslayan fiyatlarla. Bilgi:<PHONE>;1;Promosyon;
Bilemedim :-) ;2;Normal;
uyarý! Hizmet saðlayýcý – kargonuz iade edildi. Hemen bilgi güncelleyin yoksa hukuki süreç baþlatýlacaktýr. Tel: <PHONE>;0;Dolandiricilik;
Savunma çünkü sen o meseleyi çok umursadýðýmý sanýyorsun hala;2;Normal;
Esra yürüyese devam. Halasini karsilasin yegenim;2;Normal;
Lisans mezunlarina yeni bir is sahasi olan Tehlikeli Mad Guv Dan (TMGD) Egitimlerimiz icin on kayitlarimiz basladi.(<PHONE>;1;Promosyon;
SGK: hesabýnýz bloke edildi. derhal iþlem yapmazsanýzyasal takip baþlatýlacaktýr. Borç tutarý: 15795 TL. Link: <URL>;0;Dolandiricilik;
Kampanya:Size özel elektronik ürünlerinde ekstra %5 indirim! Son gün 27 Aralýk! <URL>;1;Promosyon;
Sayin :Turan Seril,Adiniza gelen 1750 TL degerindeki paketinizi 3 is gunu icerisinde almamaniz durumunda iade olacaktir. irtibat, <PHONE>;1;Promosyon;
KIS KAMPANYASI.. KOMBI BAKIMI 50TL, MAKINA ILE PETEK BAKIMI 150TL, KLIMA BAKIMI 50TL AYNI GUN SERVIS IMKANI.(sms iptal icin bos sms at) <PHONE>;1;Promosyon;
Hocam vardý bitane arkadaþlar satmýþlar çýkar yýne bu aralar çok eþya var denk gelir;2;Normal;
Evden çalýþma iþi: Hemen baþvuru yapýn: <URL>;0;Dolandiricilik;
Sn KARASOY,Yeni yasinizda ilk hediyeniz KIGILI'dan! NET %70+%20 INDIRIM'e ek 15.09.2015'e kadar ekstra %10 INDIRIM magazalarimizda. Mutlu yillar! Bilgi: <PHONE>;1;Promosyon;
Vergi Dairesi uyarýsý: Borcunuz nedeniyle banka hesaplarýnýza bloke gelebilir. Detaylar: <URL>;0;Dolandiricilik;
Iyiyim zeynep abla sen napiyorsun;2;Normal;
Saolasýn tmm ararim suan bi sýkýntý yok kendimi kasmadan yavas yavas hallediyorum iste;2;Normal;
O bir efsane! Paco Rabanne 1 Million EDT 100 ml erkek parfumu 179,90 TL! <URL>;1;Promosyon;
Sýnavým yoktu abicim yarýn var çalýþýyordum;2;Normal;
Deprem oldu yine;2;Normal;
Ringa ile sizi arayanlari standart calma sesi yerine Ebru Gundesten Araftayim sarkisi ile karsilamak icin bu mesaji ARAFTA yazip yanitlayin!(2,49 TL/Ay);1;Promosyon;
Ýnþ erken bitirirler de geldbiliriz;2;Normal;
adidas Gazimuhtarpasa  ve Gaziantep Forum magazalarinda hediyeler seni bekliyor! 14-22 kasim tarihleri arasinda 250TL ve uzeri alisverislerde mini futbol topu, 350TL ve uzeri alisverislerde futbol topu hediye. Kampanya stoklarla sinirlidir. SMS ALMAK ISTEMIYORSANIZ.  <URL>;1;Promosyon;
Tum kosu bantlarinda sepette aninda indirim ve ucretsiz kargo firsati <URL>;1;Promosyon;
Kampanya: Money Dostu, Star Wars efsanesi geri dondu! Money Club Kart ile her 30 TL harcamana bir adet STAR WARS GUC UYANIYOR kart paketi hediyesi, 17 Aralik 2015-27 Ocak 2016'da Migroslarda. Kartlari biriktir, efsane koleksiyonu tamamla! Bilgi:<PHONE>;1;Promosyon;
Indirim: 1 Alana 1 Bedava firsati basladi! Indirimli urunler icin hemen tikla: <URL>;1;Promosyon;
Son dakika! Cep telefonu ve altin urunleri haric, saat 23:59'a kadar 500 TL ve uzeri alisverisinize aninda %5 indirim! <URL>;1;Promosyon;
Bugun biraz keyifsiz mi geciyor? Hemen Tikla, yepyeni 2015 oyunlari cep telefonundan sinirsiz oyna, keyfin yerine gelsin! <URL>;1;Promosyon;
DUYURU:BEKLENEN SPARTAN TASARIMI SEKIZ<URL> DA. DETAY <URL>;1;Promosyon;
Yes. Beraberizdirkine. Saat kacta gelirsin?;2;Normal;
KIGILI'da Net %60 Indirim ve Daha Fazlasi sizinle! Ustelik Pantolon 69, Triko 69, Oduncu Gomlek 89 TL'den baslayan fiyatlarla. Magazalar & m.kigili<URL> Bilgi: <PHONE>;1;Promosyon;
ACÝL! Telefonunuzda virüs tespit edildi. Temizlemek için týklayýn: <URL>;0;Dolandiricilik;
Kampanya: Markafoni'den size ozel KARGO BEDAVA! 19 Ekim'e kadar 75 TL ve uzeri ilk alisverisinizde... Hesabiniz: melistuncay@hotmail<URL> [Gecmis alisveris kaydiniza istinaden numaraniz veri tabanimizda bulunmaktadir (SMS iptal icin: 3172'ye MARKAFONI RET);1;Promosyon;
22 Ocak-07 Subat tarihlerindeki toplamda 2000 TL ve uzeri yurtici ve yurtdisi otel harcamalarinizda ekstra 1000 mil! OTEL yazin 3340'a SMS gonderin ya da kampanyaya BonusFlas uygulamasiyla katilin! Henuz indirmediyseniz garanti<URL>;1;Promosyon;
Arcelik'te bayram firsatlari basladi!Secili 82 ve 106 ekran televizyonlarda SIZE OZEL 150TL'ye varan indirimi kacirmayin!Son gun 31 Ekim. Mersis No:2268495549667788. Size ozel indirimlerimizle ilgili bilgi almak istemiyorsaniz Arcelik yazip 5653'e gonderin.;1;Promosyon;
Vodafone'dan Yeni yila ozel mevcut tarifenize ek 1GB interneti 24TL yerine 5TLye almak icin hemen BFIRSAT1GB yazip 3636ya gonderin, size ozel firsatla tarifenizi buyutun! Son gun 11 Ocak! Iletisim tercihlerinizi degistirmek icin IPTAL yazip 5203e gonderin;1;Promosyon;
Ailenizle ilgili dava bilgisi var. Detay için <PHONE>;0;Dolandiricilik;
Nasýldý;2;Normal;
Bilgi: Hizli ve guvenli alisveris icin Tek Tikla Odeme imkani Markafoni'de basladi! Keyifli alisverisler... <URL>;1;Promosyon;
Yatýrým platformu %300 garanti ile açýldý. Üye olmak için: <URL>;0;Dolandiricilik;
Allah aðýz tadýyla oturmayý nasip etsin;2;Normal;
melahatim merhaba yaþlý bakýmýna kadro açýlmýþ Köyceðize;2;Normal;
Son çaðrý: Hizmet saðlayýcý - vergisel yükümlülük tespit edildi. bugün cevap vermezseniz þikayetçi olunacaktýr. Tel: <PHONE>;0;Dolandiricilik;
E-Postadoðrulama: Hesabýnýz için gönderilen OTP kodunu <PHONE>;0;Dolandiricilik;
kliksa<URL>'dan cok net firsat! 19-23 Kasim tarihleri arasinda yapacaginiz TV alisverislerinizde 400 TL'ye varan hediye ceki firsati. <URL>;1;Promosyon;
Bahari MOI'de kutlamaya ne dersiniz? Yarin saat 19:00'da ucretsiz Model konseri ve gun boyu surecek etkinliklere davetlisiniz!;1;Promosyon;
SANSLI Gunler Sizinle! KIGILI'da SADECE 4 gun NET %60 INDIRIM+250 TL uzeri %20 Hediye Ceki firsati! Son Gun: 23 KASIM;1;Promosyon;
Yok ya siz takýlýn :) kim kim gideceksiniz?;2;Normal;
VakifBank Altin Gunu 14 Ocakta Mugla Subemizde. Altinlarinizi getirin karsiligi kadar altin hesabiniza yatirilsin. Bilgi:<URL>;1;Promosyon;
Bankanýz kartýnýzýn kötüye kullanýmý tespit etti. Daha fazla bilgi için <URL>;0;Dolandiricilik;
Codegen Nova 10.1'' tablet Ucretsiz Kargo avantaji ile sadece 279,90 TL! Ustelik kirilmaya ve calinmaya karsi kaskolu! <URL>;1;Promosyon;
31 Aralik'a kadar Paraf'la yapacaginiz beyaz esya ve elektronik alisverislerinize +6 TAKSIT veya 4 AY ERTELEME firsati! Detay: <URL>;1;Promosyon;
ok anladým;2;Normal;
Hemen DERGI yazip 2222'ye gonderin,170'ten fazla dergiyi sadece 1 dergi fiyatina Turkcell Dergilik ile okumaya baslayin (Aylik 9,90 TL);1;Promosyon;
Deneme;2;Normal;
30 TL hediyen <URL>;1;Promosyon;
ACÝL! SEVKÝYAT SORUNU: Kargonuzla ilgili bilgi almak için arayýn: <PHONE>;0;Dolandiricilik;
Kelebekli urunlerde sezon indirimine ilave %40 indirim!Boyner ve <URL>;1;Promosyon;
Hayirdir;2;Normal;
HES kodu doðrulamasý  gerekiyor. Buraya girin: <URL>;0;Dolandiricilik;
Tebrikler! Büyük ödülü kazandýnýz. Detaylar ve talep formu: <URL>;0;Dolandiricilik;
<URL>;1;Promosyon;
Hediye çeki bekliyor! 48 saat içinde talep et: <URL>;0;Dolandiricilik;
Ara istersen tarayýp yollasýnlar olmazsa e postana;2;Normal;
100USD UZERI Y.DISI ISLEMLERE 3 TAKSIT!HENUZ KATILMADIYSAN TATIL YAZ <PHONE>;1;Promosyon;
Silivri Belediyesi, Sarýçam Belediyesi filan iflas edeceðim yakýnda çünkü çok birikti;2;Normal;
SGK: hesabýnýz bloke edildi. 24 saat içinde iþlem yapmazsanýz þikayetçi olunacaktýr. Borç tutarý: 1129 TL. Tel: <PHONE>;0;Dolandiricilik;
saol sanada iyi aksamlar;2;Normal;
Bankanýz kartýnýzýn kötüye kullanýmý tespit etti. Daha fazla bilgi için <URL>;0;Dolandiricilik;
Hopi'li erkeklerin klasik giyim markasi Altinyildiz Classics'te sececegin 3 adet dis giyim veya takim elbise 799 TL. Ustelik 100 Paracik kazan.  Kampanya detay: <URL>;1;Promosyon;
Sabah benide alir misin kardesim? Not: fix message :));2;Normal;
Bahcede, sinifta, kampuste mevsim sonbahar. 2014 Sonbahar Koleksiyonumuz magazalarimizda ve internet magazamizda satisa sunulmustur.;1;Promosyon;
Kargonuz adres hatasý nedeniyle iade ediliyor. Ücreti ödememek için lütfen adres doðrulama yapýn: <URL>;0;Dolandiricilik;
ALANYA ÖNCÜL BEACH HOTELDE 1 AGUSTOSTAN ITIBAREN 4GECE 5GÜN HERSEY DAHIL KISI BASI 399TL 0-12 YAS COCUK FREE <PHONE>;1;Promosyon;
Hesabýnýzdan para çekildi. Onaylamýyorsanýz hemen týklayýn: <URL>;0;Dolandiricilik;
Hogan'da 750TL ve uzeri alisverislerde ekstra 1500 Mil ayricaligi ve 7 taksit sizi bekliyor. Daha fazla kampanya,firsat icin BonusFlas'i indirin garanti<URL>;1;Promosyon;
Is Bankasi Altin Bulusmalari 24 Aralik 2015 Persembe gunu Mugla Sbde! Altin,ziynet esyalarinizi getirin,karsiligi kadar altin hesabiniza yatsin.Tel:<PHONE>;1;Promosyon;
Kayýp paket: Kargonuz adres bilgisi eksik.doðrulamak için linke týklayýn: <URL>;0;Dolandiricilik;
Abim denetimdeyiz arýyorum sonra hemen;2;Normal;
Çok caným sýkýldý melahat, Ya anlamýyorum. Bize uzman olurken de Kfalarýna göre çaðýrýyorlar;2;Normal;
Abonelik ödemeniz alýnamadý. Kart bilgilerinizi güncellemezseniz hizmetiniz iptal edilir: <URL>;0;Dolandiricilik;
Günaydýn bende;2;Normal;
